,Tracking_Error,abdo_mass,length_scale,petiole_length,torsional_spring
59,0.118256,0.1,1.0,0.0,1.0
279,0.018646,10.0,1.0,0.0,0.1
480,0.038027,1.0,1.0,0.0,1.0
481,0.040666,1.0,1.0,0.0,1.0
482,0.039563,1.0,1.0,0.0,1.0
483,0.038313,1.0,1.0,0.0,1.0
484,0.036907999999999996,1.0,1.0,0.0,1.0
485,0.038508999999999995,1.0,1.0,0.0,1.0
486,0.036368,1.0,1.0,0.0,1.0
487,0.037023,1.0,1.0,0.0,1.0
488,0.037978,1.0,1.0,0.0,1.0
489,0.039505,1.0,1.0,0.0,1.0
490,0.037516,1.0,1.0,0.0,1.0
491,0.038197,1.0,1.0,0.0,1.0
492,0.037627999999999995,1.0,1.0,0.0,1.0
493,0.03782,1.0,1.0,0.0,1.0
494,0.039429,1.0,1.0,0.0,1.0
495,0.037945,1.0,1.0,0.0,1.0
496,0.038554000000000005,1.0,1.0,0.0,1.0
497,0.037982999999999996,1.0,1.0,0.0,1.0
498,0.040228,1.0,1.0,0.0,1.0
499,0.038824000000000004,1.0,1.0,0.0,1.0
500,0.037699,1.0,1.0,0.0,1.0
501,0.036998,1.0,1.0,0.0,1.0
502,0.035936,1.0,1.0,0.0,1.0
503,0.03594,1.0,1.0,0.0,1.0
504,0.038326,1.0,1.0,0.0,1.0
505,0.037801999999999995,1.0,1.0,0.0,1.0
506,0.038592,1.0,1.0,0.0,1.0
507,0.036854000000000005,1.0,1.0,0.0,1.0
508,0.037247,1.0,1.0,0.0,1.0
509,0.03798,1.0,1.0,0.0,1.0
510,0.037929000000000004,1.0,1.0,0.0,1.0
511,0.038209,1.0,1.0,0.0,1.0
512,0.037191,1.0,1.0,0.0,1.0
513,0.038516,1.0,1.0,0.0,1.0
514,0.038171,1.0,1.0,0.0,1.0
515,0.036519,1.0,1.0,0.0,1.0
516,0.037401,1.0,1.0,0.0,1.0
517,0.037751,1.0,1.0,0.0,1.0
518,0.037828,1.0,1.0,0.0,1.0
519,0.038396,1.0,1.0,0.0,1.0
635,0.020311000000000003,1.0,2.0,0.0,1.0
713,0.009745,1.0,2.0,0.4,1.0
